Wd,Wn,We,Wout,N,DC Gain,Freq Corte,SR
1e-06,3.2e-06,2.2e-06,5.4e-06,1,31.064598586360287,61659.50018614754,5805301.5
2.8e-06,7.8e-06,8.8e-06,7.8e-06,7,2107.951475659902,2290.8676527677576,12315195.0
4.8e-06,5.199999999999999e-06,9e-06,7.6e-06,8,2290.070560455855,2691.5348039268965,12587912.0
7.8e-06,5.199999999999999e-06,4.9999999999999996e-06,1.2e-06,6,48.277933558910604,144543.97707459095,7386915.0
8.2e-06,1e-06,8.2e-06,9e-06,8,830.2488226639043,6760.82975391976,8008984.0
1e-06,7.6e-06,2.4e-06,7.8e-06,9,0.5188037987095374,134896.2882591637,7999858.5
3.6e-06,5.6e-06,5.199999999999999e-06,8.2e-06,6,2108.954967532955,2398.832919019474,12009471.0
9e-06,6e-07,6.2e-06,4.2e-06,12,219.45709307017827,19952.62314968861,5758661.5
4.8e-06,9.8e-06,2.4e-06,2e-06,13,1.433764435200495,1737800.8287493472,1613294.8
6.4e-06,2.8e-06,2e-06,4.8e-06,8,0.42526634937864266,8128305.1616408415,4559731.0
8.8e-06,4e-07,7.6e-06,3.3999999999999996e-06,19,158.04812941204756,21877.61623949532,4306011.0
5.7999999999999995e-06,8e-06,7.8e-06,9e-06,1,2556.093117927766,2691.5348039268965,11878021.0
4.2e-06,6.5999999999999995e-06,9e-06,1.6e-06,7,42.817998840835344,151356.12484361892,5467101.0
4.8e-06,4.2e-06,1.2e-06,1.6e-06,10,2.6769898342652416,1288249.5516931135,2573899.8
8e-07,6.2e-06,5.4e-06,7.6e-06,6,1833.6412956699041,1202.2644346174059,6831032.0
5.199999999999999e-06,2.8e-06,4e-07,7.6e-06,14,0.09405395959105985,72443596.00749749,4024648.8
1.6e-06,7.2e-06,2e-06,4.8e-06,12,0.2580302989861164,15848931.924610823,391338.47
7e-06,6.799999999999999e-06,7.3999999999999995e-06,3e-06,16,803.3305939539318,8912.509381337379,14719163.0
1.4e-06,9e-06,6.799999999999999e-06,6e-07,9,31.48783130715093,181970.085860996,862167.94
7.6e-06,4.6e-06,6.799999999999999e-06,4e-06,4,1377.0859529220215,5248.0746024976825,11783987.0
6.4e-06,6e-07,1.8e-06,7.2e-06,5,0.5341817688304207,3388441.5613919664,5897474.5
5.199999999999999e-06,5.7999999999999995e-06,3.8e-06,4.2e-06,6,240.135641703362,3467.36850452529,12428871.0
9.8e-06,4e-07,9.8e-06,9.8e-06,18,324.96087433516533,11748.975549395193,5657996.0
6e-06,7e-06,8.2e-06,4e-06,18,1267.3910004440434,5370.317963702482,15000635.0
7.2e-06,7.8e-06,9e-06,6.799999999999999e-06,10,2057.743490554908,3630.7805477009856,14788160.0
8.4e-06,1.4e-06,2e-06,8e-07,7,5.916041854895547,812830.5161640865,9008547.0
5.4e-06,2.8e-06,3.8e-06,5.7999999999999995e-06,2,1199.2812085652424,2454.7089156850134,9978597.0
9e-06,2.4e-06,9.8e-06,8.8e-06,12,2677.117948499272,2691.5348039268965,11239249.0
6e-07,1.6e-06,6.2e-06,4.9999999999999996e-06,18,1172.5368767512705,1318.256738556399,4320090.0
1.8e-06,8e-07,4.6e-06,8.8e-06,10,470.8265952329802,5370.317963702482,5362794.5
1e-06,6.5999999999999995e-06,7.2e-06,1.4e-06,4,67.1083889609456,66069.34480075887,2126684.8
7.6e-06,4.8e-06,4.2e-06,4e-06,7,756.5598989839783,3388.441561392,12637825.0
5.199999999999999e-06,1.2e-06,8.2e-06,6.5999999999999995e-06,8,1081.8041817481487,4570.881896148713,8012997.5
9.6e-06,8.599999999999999e-06,5.6e-06,3.6e-06,8,1091.900279620278,7079.457843841318,14397901.0
8.4e-06,6.4e-06,1.2e-06,9.4e-06,6,0.19344612158768867,32359365.692962177,6395422.0
7.6e-06,5.6e-06,5.6e-06,8.8e-06,16,2363.837943144265,2951.209226666364,14586691.0
2.4e-06,1.2e-06,2e-06,7.8e-06,14,0.13788616142156543,38904514.499427274,574274.8
9.8e-06,4.4e-06,6e-07,3.8e-06,13,0.259338867830745,19952623.149688404,8389887.0
8.2e-06,7.3999999999999995e-06,6.2e-06,9.8e-06,7,2519.642870182406,3019.951720401994,14387479.0
3e-06,2.4e-06,1.4e-06,2.5999999999999997e-06,6,1.8924092180508212,1621810.0973589038,2028292.5
9e-06,1e-06,4.4e-06,5.4e-06,19,581.3466613367225,9332.54300796983,7901377.5
8.4e-06,2.2e-06,7.3999999999999995e-06,5.6e-06,7,1885.3518358392864,3630.7805477009856,10580814.0
6e-07,6e-06,3.6e-06,6e-06,4,1410.8220613359192,1258.9254117941596,5623510.0
6e-06,3.3999999999999996e-06,2e-06,2.8e-06,13,0.6069437659314108,3801893.963205545,2995783.5
4.8e-06,3.3999999999999996e-06,4.2e-06,6.4e-06,16,1654.046009316721,2570.3957827688455,11718019.0
4.4e-06,7e-06,4.6e-06,8.599999999999999e-06,1,1903.3443843318635,2454.7089156850134,11234705.0
8e-06,7.2e-06,9.2e-06,3.3999999999999996e-06,7,1063.951442209734,7244.359600749838,13459812.0
3e-06,3.6e-06,1.6e-06,8e-06,9,0.1642087299672422,38018939.63205535,1234089.6
8.4e-06,7.3999999999999995e-06,2e-06,3.8e-06,6,0.8245816950204924,4466835.921509551,6033697.0
6e-07,7.6e-06,5.6e-06,8.2e-06,12,1837.7010376324567,977.2372209558052,6003490.5
6.799999999999999e-06,1.6e-06,8e-06,6.799999999999999e-06,16,1833.9437101960684,3235.9365692962583,9424141.0
8e-07,2e-06,8e-06,3e-06,11,682.7834739222833,2884.031503126585,5180991.5
6.4e-06,2.4e-06,8e-07,5.199999999999999e-06,8,0.3038792564508508,16982436.52461711,6713771.5
9e-06,1.6e-06,4e-07,8.4e-06,18,0.06443673936542313,107151930.52375837,8026636.0
1.6e-06,1.2e-06,8.599999999999999e-06,3.2e-06,10,458.1823367521159,5888.43655355584,5738786.5
1e-06,2.8e-06,1.6e-06,6e-06,16,0.1434893911726665,38904514.499427274,247430.6
9e-06,8e-06,9e-06,3.3999999999999996e-06,18,1037.3013698822097,7585.775750291772,15953770.0
6.799999999999999e-06,8.4e-06,4e-06,2.4e-06,3,48.842652484642,72443.59600749818,7606160.5
5.199999999999999e-06,2.2e-06,7.8e-06,6.799999999999999e-06,12,2134.9099649956306,2630.267991895363,10093877.0
7.8e-06,2e-07,6e-06,5.7999999999999995e-06,5,239.07819639009543,11481.536214968728,3995727.2
4.9999999999999996e-06,8.2e-06,1.4e-06,8.599999999999999e-06,13,0.09322927169328768,70794578.43841231,1845624.4
6e-06,3.6e-06,6e-06,1.6e-06,14,25.602605943044527,263026.7991895346,6670262.0
9.8e-06,6.799999999999999e-06,8.4e-06,2.5999999999999997e-06,5,543.0974451811499,14791.08388168194,10735524.0
9.2e-06,4.9999999999999996e-06,5.7999999999999995e-06,4.2e-06,1,1526.7112735322107,4897.7881936844215,9230702.0
2.8e-06,7.3999999999999995e-06,7.3999999999999995e-06,6.5999999999999995e-06,8,1852.1300177658688,2570.3957827688455,12267253.0
4e-07,7.2e-06,5.6e-06,9.8e-06,5,2082.4912272271285,660.6934480075925,4459195.0
1.8e-06,7.8e-06,8.8e-06,1e-06,8,36.41987960386954,158489.31924610934,1634710.0
7.6e-06,6e-06,8.599999999999999e-06,6.799999999999999e-06,8,2134.802726169274,3548.1338923357275,13746588.0
5.7999999999999995e-06,4.4e-06,7.3999999999999995e-06,6.4e-06,15,2046.8674179124428,3162.277660168356,13048487.0
8.2e-06,3.3999999999999996e-06,2.4e-06,2e-06,12,2.3356951462052113,1047128.5480508829,4149692.5
5.4e-06,4.4e-06,9.2e-06,5.7999999999999995e-06,1,2095.0895970454703,3090.2954325135674,8735991.0
4.8e-06,2.4e-06,3.6e-06,6e-06,6,1146.3699660191494,2187.761623949538,10034610.0
9e-06,9e-06,6.4e-06,9.6e-06,10,2447.877977078584,3162.277660168356,15543058.0
6.799999999999999e-06,7.2e-06,5.4e-06,4e-06,8,1231.0395299952982,5495.4087385761995,13818824.0
3.2e-06,9.8e-06,5.6e-06,5.199999999999999e-06,6,1427.6372351509663,3548.1338923357275,12959293.0
7e-06,3.8e-06,4.8e-06,4e-07,18,0.6225321219411556,6025595.860743467,5949135.5
1.6e-06,2e-07,5.4e-06,3e-06,10,145.39997832127764,9772.372209558023,2284351.0
1.8e-06,6.799999999999999e-06,8e-07,8e-07,14,13.490300661125405,275422.8703338129,622130.2
3.3999999999999996e-06,4.9999999999999996e-06,5.7999999999999995e-06,3e-06,17,752.4581641675384,6606.934480075904,12077853.0
6.799999999999999e-06,6e-06,3.8e-06,1.6e-06,17,19.164815842501397,263026.7991895346,7978300.5
1.8e-06,4.9999999999999996e-06,4.8e-06,9e-06,1,2216.1083292204703,1659.5869074375498,8845921.0
4.8e-06,7.3999999999999995e-06,3.6e-06,2.5999999999999997e-06,15,3.6133039829855624,194984.459975802,13601972.0
7e-06,3.2e-06,4.8e-06,1e-06,3,96.89400622582693,69183.09709189288,7017373.5
7e-06,9.6e-06,4.8e-06,2.4e-06,1,318.39965676854234,19498.44599758027,7436914.0
3.8e-06,6.5999999999999995e-06,5.6e-06,7.2e-06,5,1972.4551328761731,2754.2287033381467,12410889.0
6.5999999999999995e-06,5.6e-06,5.6e-06,6.4e-06,3,1965.9866842306467,3467.36850452529,12476983.0
6.5999999999999995e-06,3.8e-06,4.8e-06,6.4e-06,16,1904.6196338571194,3162.277660168356,12782379.0
8.599999999999999e-06,2.2e-06,4.6e-06,2.2e-06,14,95.44702455008299,67608.29753919743,9450092.0
2.5999999999999997e-06,8e-07,6.2e-06,8.8e-06,6,488.2009074567783,6456.5422903465005,5924022.0
9.6e-06,8.4e-06,6e-07,2.8e-06,17,0.30375073172376305,13489628.825916274,5525354.0
8.8e-06,2.8e-06,6.799999999999999e-06,1.8e-06,11,33.63427934743409,213796.2089502204,7481970.0
1.4e-06,3.6e-06,6e-07,2.4e-06,1,17.049884000598155,331131.1214825865,963204.2
6.2e-06,6.5999999999999995e-06,1e-06,7.6e-06,18,0.07439297038526994,89125093.81337267,2827670.8
6e-07,1e-06,3e-06,4.6e-06,18,412.49522098402844,3235.9365692962583,3698572.8
6.4e-06,6e-06,4e-07,8e-06,6,0.22266592265303317,26915348.039268624,5462071.0
6e-07,3.6e-06,5.7999999999999995e-06,8e-07,12,12.760210380987187,288403.15031265665,817826.56
9.4e-06,1.2e-06,9.8e-06,8e-07,16,1.5382284932799044,3630780.5477009495,4486883.5
5.4e-06,1.6e-06,3.6e-06,1e-06,3,51.654358081185435,125892.54117941519,5582358.5
6.799999999999999e-06,6e-06,6.5999999999999995e-06,6.4e-06,11,1978.1616516149138,3548.1338923357275,14077025.0
1.6e-06,2.4e-06,4.9999999999999996e-06,1.2e-06,3,84.0231006329469,66069.34480075887,2067336.8
9.2e-06,5.199999999999999e-06,1.6e-06,5.6e-06,4,0.7025478124902824,5888436.553555782,8542083.0
4.4e-06,8.4e-06,1.4e-06,1.8e-06,5,4.557954836883743,1023292.9922807378,2535529.0
4.2e-06,4.9999999999999996e-06,3.2e-06,1.4e-06,9,26.148885951761535,169824.36524617227,3795832.5
6.5999999999999995e-06,7.8e-06,4.8e-06,9.4e-06,18,1886.962520148652,2754.2287033381467,15684934.0
4.9999999999999996e-06,4.9999999999999996e-06,6.4e-06,2.5999999999999997e-06,19,479.78333210733194,12589.25411794156,12943344.0
9.8e-06,8.8e-06,4.9999999999999996e-06,8.2e-06,8,1960.8393152096937,3311.311214825886,15043168.0
6e-07,4.4e-06,6.2e-06,3.6e-06,18,902.5567036227152,1905.4607179632346,5401745.5
5.6e-06,5.199999999999999e-06,2.8e-06,5.7999999999999995e-06,9,0.30263899502316677,13182567.385563815,2794651.8
6.5999999999999995e-06,1.6e-06,2e-06,1.8e-06,8,7.717429553000916,380189.39632055577,4647328.5
5.7999999999999995e-06,1.4e-06,1.8e-06,3.6e-06,7,0.9515962498327368,2454708.9156849883,4936308.5
4.8e-06,2e-07,8e-07,4e-07,9,3.475525120917631,1148153.6214968646,8445149.0
2.2e-06,6.5999999999999995e-06,6.799999999999999e-06,7.8e-06,8,2051.6019817420633,2041.7379446695156,11162226.0
7.8e-06,1.8e-06,8e-06,8.4e-06,7,2351.811459312955,2754.2287033381467,9937057.0
9.8e-06,6.4e-06,6.4e-06,5.4e-06,9,1754.7858086073163,4570.881896148713,14327620.0
2e-07,9.8e-06,9e-06,4.4e-06,1,1085.267926398003,1023.2929922807484,3123122.0
4e-07,7.2e-06,9e-06,9.4e-06,15,2082.1441103663174,645.6542290346521,4484443.5
6.5999999999999995e-06,4e-06,9.2e-06,7.8e-06,2,2513.1711815664,2754.2287033381467,11552633.0
3e-06,6e-06,1.4e-06,3.2e-06,15,0.3244651570691032,9999999.999999812,817670.94
5.4e-06,4e-06,7e-06,7.2e-06,13,2230.560164819552,2754.2287033381467,12401897.0
8e-06,9.8e-06,7e-06,5.6e-06,18,1691.3131922165478,4466.835921509595,16678219.0
6.2e-06,3.8e-06,2e-06,2.4e-06,2,13.64397839335951,371535.22909716726,6220923.5
8.4e-06,6.799999999999999e-06,2e-06,6e-07,13,7.220699673222724,676082.9753919714,5072183.0
6.5999999999999995e-06,4.8e-06,6.799999999999999e-06,6e-07,2,174.44472247065394,38904.514499427656,5403037.0
6.2e-06,7.8e-06,1e-06,4e-07,1,141.6738565579839,46773.51412871932,6785559.5
8e-06,5.199999999999999e-06,1e-06,3.6e-06,3,2.002290130329963,2290867.652767734,9200593.0
2e-07,8.4e-06,2.8e-06,1.4e-06,7,44.06913462327119,39810.71705534931,1478979.5
4e-07,6.2e-06,7e-06,5.7999999999999995e-06,18,1443.029847455902,912.0108393559046,4404774.0
7.6e-06,3.3999999999999996e-06,5.199999999999999e-06,9.6e-06,10,2565.4802191662266,2630.267991895363,12229995.0
9.4e-06,5.199999999999999e-06,8e-06,6e-06,4,2010.452864301801,3981.0717055349414,12863419.0
6.5999999999999995e-06,7.8e-06,3.2e-06,9.4e-06,11,0.12631474511750984,48977881.93684362,2802456.5
9.4e-06,1.8e-06,5.6e-06,9.8e-06,11,2523.8221356216777,2691.5348039268965,10245206.0
3e-06,9.2e-06,9.6e-06,6e-06,7,1711.2050397546325,3019.951720401994,12844615.0
7.2e-06,8e-07,9.4e-06,7.2e-06,2,460.46192215104645,10715.193052375973,6853742.5
3.2e-06,4.4e-06,9.4e-06,6.4e-06,14,1988.1446066471244,2511.8864315095625,11501257.0
1.8e-06,1.6e-06,2e-06,6.2e-06,18,0.1440348064875641,31622776.60168316,381221.84
4e-06,3e-06,9.8e-06,2.2e-06,10,159.6269479754335,33113.11214825878,8801161.0
5.4e-06,6.799999999999999e-06,5.7999999999999995e-06,8e-07,4,77.2042393762711,87096.35899560705,4634924.0
3.8e-06,2.4e-06,2e-06,9e-06,18,0.0722138763296608,89125093.81337267,1022442.7
6e-07,4.2e-06,4e-07,6.5999999999999995e-06,8,0.2107341697609596,28840315.031265486,30904.166
7.2e-06,4.8e-06,8e-07,4.4e-06,9,0.3282135823795257,14454397.707458993,6241709.5
7.6e-06,4.8e-06,6.5999999999999995e-06,4.6e-06,18,1546.1264917820329,4677.3514128719435,14076647.0
5.199999999999999e-06,1.4e-06,1e-06,3.8e-06,15,0.2490178007189366,19054607.179632097,4075515.2
1.4e-06,1.8e-06,6.799999999999999e-06,3.3999999999999996e-06,6,890.8727056725124,3090.2954325135674,6309855.5
2.8e-06,5.199999999999999e-06,4.8e-06,2.8e-06,17,578.1872059145812,7413.102413009111,11533098.0
6.4e-06,4.2e-06,6.4e-06,6.4e-06,11,2044.233583760013,3235.9365692962583,12723250.0
6.2e-06,7e-06,9e-06,9.2e-06,18,2532.0997185213214,2691.5348039268965,15156578.0
6.2e-06,9.6e-06,1.2e-06,9.4e-06,18,0.058187952271499685,112201845.43019395,2096288.8
7.6e-06,4.2e-06,4e-06,3.6e-06,6,468.09797419908665,3715.3522909716967,11891565.0
7.8e-06,7.8e-06,5.199999999999999e-06,9e-06,2,2246.064109265107,3019.951720401994,13150651.0
4.4e-06,9.2e-06,8e-06,5.199999999999999e-06,6,1562.648475515081,3890.451449942776,13481866.0
1.4e-06,1.2e-06,9.8e-06,9e-06,4,1251.6106186304673,2089.2961308540253,5862985.5
4.9999999999999996e-06,8e-07,6.799999999999999e-06,9.8e-06,14,532.5430860567635,7762.47116628685,6656615.5
4.8e-06,1.6e-06,5.6e-06,3e-06,14,711.9223316329029,7079.457843841318,8516299.0
8.2e-06,5.6e-06,7.2e-06,1.8e-06,9,38.9068070105164,186208.71366628434,8201657.5
3.2e-06,5.199999999999999e-06,9e-06,1.6e-06,13,28.2133628252381,204173.79446695026,6587841.5
5.199999999999999e-06,7.2e-06,9.4e-06,1.6e-06,5,55.7170068030528,120226.44346173984,4620826.5
5.6e-06,1.4e-06,9.8e-06,6.5999999999999995e-06,13,1497.921472298324,3548.1338923357275,8643981.0
3.3999999999999996e-06,5.7999999999999995e-06,7.8e-06,6.799999999999999e-06,14,1999.1406340293865,2570.3957827688455,12690941.0
4.4e-06,1.8e-06,1e-06,4.4e-06,15,0.19619701751120788,28183829.31264398,3109498.8
2.2e-06,5.199999999999999e-06,8.4e-06,6.2e-06,10,1831.0214576529852,2238.7211385683245,10580910.0
4e-06,5.6e-06,4.6e-06,5.6e-06,8,1517.5200912991572,3090.2954325135674,12365847.0
8e-06,7.8e-06,4.6e-06,6e-07,4,82.31287329639966,83176.37711026614,8228182.0
7.6e-06,7.6e-06,1e-06,2e-06,12,0.9696657868509889,3630780.5477009495,4457855.5
8e-06,1.2e-06,9e-06,9.2e-06,10,1378.782419383257,4265.795188015893,8605804.0
4e-06,2.8e-06,7e-06,3.2e-06,1,1185.8578895521914,4570.881896148713,4608701.5
1.4e-06,2.8e-06,3.8e-06,1.2e-06,2,129.19497269779393,42657.95188015881,1853374.9
5.6e-06,8.8e-06,4.4e-06,1.8e-06,10,31.67783748070053,177827.94100389,9031634.0
6.799999999999999e-06,9.4e-06,3.6e-06,9.6e-06,2,1.4656532771229485,1047128.5480508829,5659693.5
5.6e-06,4e-06,8.2e-06,1e-06,14,15.216226931051713,436515.8322401596,3235388.0
8.599999999999999e-06,4.8e-06,1e-06,5.7999999999999995e-06,16,0.11902115303004239,54954087.38576132,5965495.0
2.2e-06,2e-07,7.3999999999999995e-06,4.4e-06,3,200.81181588439904,8912.509381337379,2650449.2
9.6e-06,9e-06,6e-06,9.2e-06,5,2374.0376739978183,3311.311214825886,14370367.0
4e-06,2.8e-06,6.4e-06,9.2e-06,10,2598.889604073352,1995.2623149688663,10378608.0
8.2e-06,3e-06,8.4e-06,3.8e-06,12,1320.3784564104287,5370.317963702482,11759896.0
3e-06,5.4e-06,9.4e-06,6.4e-06,19,1926.075736178377,2511.8864315095625,12292563.0
4.6e-06,3.8e-06,7e-06,3.8e-06,2,1322.128079826827,4466.835921509595,8640005.0
2.5999999999999997e-06,6.2e-06,5.7999999999999995e-06,2.2e-06,4,199.94449221875274,23988.329190194676,6992386.0
8.8e-06,6.5999999999999995e-06,5.199999999999999e-06,4.8e-06,11,1496.0427244612338,4677.3514128719435,14581206.0
1.8e-06,6.799999999999999e-06,3.2e-06,8.2e-06,2,242.8063717183643,2754.2287033381467,9850246.0
8.8e-06,4.8e-06,8.4e-06,2.8e-06,16,704.9885434217802,10964.781961431756,13657522.0
1.8e-06,4.8e-06,4.6e-06,2.2e-06,10,152.696644980032,23442.288153199,8377228.5
8.8e-06,2e-07,9.6e-06,1.6e-06,16,62.89633365833979,38018.93963205573,3574599.0
8.599999999999999e-06,3e-06,2.2e-06,4.8e-06,1,11.398169234202927,436515.8322401596,10667420.0
6.799999999999999e-06,2.5999999999999997e-06,1.2e-06,4.2e-06,16,0.1961449406059343,28183829.31264398,4788969.0
4.2e-06,5.6e-06,9e-06,2.2e-06,18,124.5574284040229,45708.81896148701,11901431.0
5.6e-06,7.6e-06,3e-06,8.599999999999999e-06,19,0.0755918278587708,83176377.11026536,1673129.9
1.6e-06,3.8e-06,2.4e-06,4.6e-06,5,1.4120275331492078,741310.241300906,1004798.25
9.8e-06,7.2e-06,1.8e-06,6.5999999999999995e-06,1,4.083684962345521,1258925.4117941472,10482379.0
3.2e-06,4.9999999999999996e-06,4.8e-06,1.2e-06,3,88.59898063985459,72443.59600749818,2653234.5
5.4e-06,4.9999999999999996e-06,7.2e-06,6e-06,19,1905.546077918779,3311.311214825886,13655018.0
2.2e-06,5.6e-06,6.2e-06,2e-06,18,57.29425444898995,74131.02413009091,9516689.0
4.6e-06,2e-06,2.8e-06,8.2e-06,1,10.968755520674964,199526.23149688536,4537145.0
6e-06,6.4e-06,6e-06,3.3999999999999996e-06,11,1008.1279808857981,6606.934480075904,13652919.0
5.7999999999999995e-06,1.6e-06,5.7999999999999995e-06,7.8e-06,10,1990.5107904441902,2754.2287033381467,9177461.0
5.7999999999999995e-06,9.4e-06,9.2e-06,5.199999999999999e-06,7,1604.5783157074873,4265.795188015893,14202216.0
3.8e-06,2.4e-06,2.5999999999999997e-06,1.2e-06,15,11.181311310198513,489778.819368439,2521190.5
8e-06,3.6e-06,5.199999999999999e-06,9.8e-06,15,2566.7028969113494,2630.267991895363,12806348.0
6.5999999999999995e-06,6.799999999999999e-06,9.4e-06,6.5999999999999995e-06,9,2046.5928349780888,3467.36850452529,14087963.0
9.2e-06,5.4e-06,8.2e-06,6.2e-06,1,2183.282219804994,3630.7805477009856,9681235.0
4.2e-06,4.4e-06,8.2e-06,4.6e-06,5,1538.408069776119,3715.3522909716967,11223433.0
4.8e-06,6.5999999999999995e-06,4.9999999999999996e-06,6.4e-06,15,1746.929735105971,3162.277660168356,14202183.0
8.599999999999999e-06,5.7999999999999995e-06,4.9999999999999996e-06,2.4e-06,9,248.99777658670237,26915.348039268898,11878660.0
